url,img,lines,author
https://www.passiton.com/inspirational-quotes/7075-our-chief-want-is-someone-who-will-inspire-us,https://cdn.passiton.com/quotes/images/7075/large_20260402_thursday_quote.jpg,Our chief want is someone who will inspire us. #<Author:0x00007f743339dc18>,
https://www.passiton.com/inspirational-quotes/3710-promise-yourself-to-be-just-as-enthusiastic,https://cdn.passiton.com/quotes/images/3710/large_20260401_wednesday_quote.jpg,Promise yourself to be just as enthusiastic about the success of others as you are about your own. #<Author:0x00007f743339d498>,
https://www.passiton.com/inspirational-quotes/3554-those-who-are-lifting-the-world-upward-are,https://cdn.passiton.com/quotes/images/3554/large_20260331_tuesday_quote.jpg,Those who are lifting the world upward are those who encourage more than criticize. #<Author:0x00007f743339cbd8>,
https://www.passiton.com/inspirational-quotes/7826-the-world-needs-dreamers-and-the-world-needs,https://cdn.passiton.com/quotes/images/7826/large_20260330_monday_quote.jpg,"The world needs dreamers and the world needs doers. But above all, the world needs dreamers who do. #<Author:0x00007f743339c458>",
https://www.passiton.com/inspirational-quotes/6036-dont-let-the-fear-of-striking-out-hold-you-back,https://cdn.passiton.com/quotes/images/6036/large_20260327_friday_quote.jpg,Don't let the fear of striking out hold you back. #<Author:0x00007f743339bb98>,
https://www.passiton.com/inspirational-quotes/6266-act-as-if-what-you-do-makes-a-difference-it,https://cdn.passiton.com/quotes/images/6266/large_20260326_thursday_quote.jpg,Act as if what you do makes a difference. It does.  #<Author:0x00007f743339b698>,
https://www.passiton.com/inspirational-quotes/6356-obstacles-are-those-frightful-things-you-see,https://cdn.passiton.com/quotes/images/6356/large_20260325_wednesday_quote.jpg,Obstacles are those frightful things you see when you take your eyes off the goal.  #<Author:0x00007f743339b198>,
https://www.passiton.com/inspirational-quotes/7355-its-faith-that-will-take-you-through-and,https://cdn.passiton.com/quotes/images/7355/large_20260324_tuesday_quote.jpg,"It's faith that will take you through, and determination that will drive you. #<Author:0x00007f743339ac98>",
https://www.passiton.com/inspirational-quotes/8419-i-shall-either-find-a-way-or-make-one,https://cdn.passiton.com/quotes/images/8419/large_20260323_monday_quote.jpg,"I shall either find a way, or make one. #<Author:0x00007f743339a798>",
https://www.passiton.com/inspirational-quotes/3255-life-is-an-adventure-in-forgiveness,https://cdn.passiton.com/quotes/images/3255/large_20260320_friday_quote.jpg,Life is an adventure in forgiveness. #<Author:0x00007f7433399ed8>,
https://www.passiton.com/inspirational-quotes/8468-if-we-really-want-to-love-we-must-learn-how-to,https://cdn.passiton.com/quotes/images/8468/large_20260319_thursday_quote.jpg,"If we really want to love, we must learn how to forgive. #<Author:0x00007f7433399758>",
https://www.passiton.com/inspirational-quotes/4448-without-forgiveness-there-is-no-future,https://cdn.passiton.com/quotes/images/4448/large_20260318_wednesday_quote.jpg,"Without forgiveness, there is no future. #<Author:0x00007f7433398fd8>",
https://www.passiton.com/inspirational-quotes/7634-forgive-yourself-for-your-faults-and-your,https://cdn.passiton.com/quotes/images/7634/large_20260317_tuesday_quote.jpg,Forgive yourself for your faults and your mistakes and move on. #<Author:0x00007f7433397f98>,
https://www.passiton.com/inspirational-quotes/4080-to-forgive-is-to-set-a-prisoner-free-and,https://cdn.passiton.com/quotes/images/4080/large_20260316_monday_quote.jpg,To forgive is to set a prisoner free and discover that the prisoner was you. #<Author:0x00007f74333976d8>,
https://www.passiton.com/inspirational-quotes/7603-i-cant-think-of-any-better-representation-of,https://cdn.passiton.com/quotes/images/7603/large_20260313_friday_quote.jpg,I can't think of any better representation of beauty than someone who is unafraid to be herself. #<Author:0x00007f74333971d8>,
https://www.passiton.com/inspirational-quotes/7604-if-you-see-something-beautiful-in-someone,https://cdn.passiton.com/quotes/images/7604/large_20260312_thursday_quote.jpg,"If you see something beautiful in someone, speak it! #<Author:0x00007f7433396918>",
https://www.passiton.com/inspirational-quotes/7746-beauty-begins-the-moment-you-decide-to-be,https://cdn.passiton.com/quotes/images/7746/large_20260311_wednesday_quote.jpg,Beauty begins the moment you decide to be yourself. #<Author:0x00007f74333962d8>,
https://www.passiton.com/inspirational-quotes/7540-the-sign-of-a-beautiful-person-is-that-they,https://cdn.passiton.com/quotes/images/7540/large_20260310_tuesday_quote.jpg,The sign of a beautiful person is that they always see beauty in others. #<Author:0x00007f7433395b58>,
https://www.passiton.com/inspirational-quotes/7260-beauty-is-not-in-the-face-beauty-is-a-light-in,https://cdn.passiton.com/quotes/images/7260/large_20260309_monday_quote.jpg,Beauty is not in the face; beauty is a light in the heart. #<Author:0x00007f7433395518>,
https://www.passiton.com/inspirational-quotes/3685-life-s-most-persistent-and-urgent-question-is,https://cdn.passiton.com/quotes/images/3685/large_20260306_friday_quote.jpg,"Life’s most persistent and urgent question is, ‘What are you doing for others?’ #<Author:0x00007f7433394d98>",
https://www.passiton.com/inspirational-quotes/8442-charity-like-the-sun-brightens-every-object,https://cdn.passiton.com/quotes/images/8442/large_20260305_thursday_quote.jpg,"Charity, like the sun, brightens every object on which it shines. #<Author:0x00007f7433394898>",
https://www.passiton.com/inspirational-quotes/6179-work-and-live-to-serve-others-leave-the-world,https://cdn.passiton.com/quotes/images/6179/large_20260304_wednesday_quote.jpg,"Work and live to serve others, leave the world a little better than you found it. #<Author:0x00007f7433394398>",
https://www.passiton.com/inspirational-quotes/7565-generosity-consists-not-the-sum-given-but-the,https://cdn.passiton.com/quotes/images/7565/large_20260303_tuesday_quote.jpg,"Generosity consists not the sum given, but the manner in which it is bestowed. #<Author:0x00007f7433393e98>",
